code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
6745,ホーチキ,電機・精密,プライム,364.3,2330.0,455.3,2135.0,539.6,368.9,2021-08-16,2026-03-17,3.16,1225
8392,大分銀行,銀行,プライム,329.2,2099.0,423.6,2069.0,537.6,388.4,2021-06-24,2026-04-09,1.38,1225
8359,八十二長野銀行,銀行,プライム,344.0,2187.5,388.0,2112.5,535.9,444.5,2021-07-09,2026-02-12,1.18,1225
6501,日立製作所,電機・精密,プライム,950.0,6039.0,987.8,4843.0,535.7,390.3,2022-03-08,2026-02-10,0.87,1225
3300,アンビション　ＤＸ　ホールディングス,不動産,グロース,466.0,2961.0,774.0,2598.0,535.4,235.7,2022-03-09,2025-08-14,3.23,1225
7735,ＳＣＲＥＥＮホールディングス,電機・精密,プライム,1880.0,11935.0,2635.0,10150.0,534.8,285.2,2022-10-12,2026-02-26,1.23,1225
1801,大成建設,建設・資材,プライム,3280.0,20680.0,4190.0,16750.0,530.5,299.8,2021-12-02,2026-03-03,1.08,1225
7167,めぶきフィナンシャルグループ,銀行,プライム,222.0,1399.0,253.0,1348.5,530.2,433.0,2021-12-01,2026-04-08,0.53,1225
1944,きんでん,建設・資材,プライム,1376.0,8580.0,1880.0,7448.0,523.5,296.2,2023-01-17,2026-03-03,1.99,1225
3496,アズーム,不動産,プライム,1008.8,6230.0,1071.3,4475.0,517.6,317.7,2021-04-30,2025-11-14,0.5,1225
7769,リズム,電機・精密,プライム,723.0,4440.0,863.0,3615.0,514.1,318.9,2021-05-19,2025-02-10,1.87,1225
9302,三井倉庫ホールディングス,運輸・物流,プライム,715.0,4390.0,731.7,4198.0,514.0,473.7,2021-04-27,2025-09-09,0.87,1225
7806,ＭＴＧ,情報通信・サービスその他,グロース,1068.0,6500.0,1686.0,6090.0,508.6,261.2,2022-11-10,2026-03-27,1.27,1225
